Country,Policy_Bucket,Need_Score_0to1,Urban_Pop_used,WAT_latest,SAN_latest,CMR_latest,Feasible_WAT_gain,Feasible_SAN_gain,People_new_WAT_12m,People_new_SAN_12m,Standpipes_needed,New_connections_needed,Basic_toilets_needed,Handwash_stations_needed,Desludging_trips_year,Cost_total_12m_USD,Primary_Owner,Co_Leads,Objective,Key_Actions,Timeline_90d,Timeline_6_12m,Timeline_12_24m,KPIs
Argentina,Type A: Maintain & Climate-proof,0.031,42158997,99.04,94.82,0.77,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Armenia,Type A: Maintain & Climate-proof,0.03,1881685,99.97,93.98,1.19,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Anguilla,Type A: Maintain & Climate-proof,0.03,0,97.48,96.7,0.13,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Iraq,Type A: Maintain & Climate-proof,0.029,32387061,98.38,98.5,3.85,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Seychelles,Type A: Maintain & Climate-proof,0.028,75807,96.42,100.0,1.96,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Egypt,Type A: Maintain & Climate-proof,0.027,49545884,98.77,97.53,2.77,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Jordan,Type A: Maintain & Climate-proof,0.026,10547647,98.97,97.14,2.06,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Turkey,Type A: Maintain & Climate-proof,0.026,67977612,97.03,99.25,1.3,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Antigua and Barbuda,Type A: Maintain & Climate-proof,0.025,22715,98.36,97.4,0.99,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Mauritius,Type A: Maintain & Climate-proof,0.024,521459,100.0,95.46,1.32,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Samoa,Type A: Maintain & Climate-proof,0.023,37744,99.04,97.93,2.38,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
North Macedonia,Type A: Maintain & Climate-proof,0.02,1096662,97.84,98.98,0.66,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Barbados,Type A: Maintain & Climate-proof,0.02,89075,98.51,98.09,0.87,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Turkmenistan,Type A: Maintain & Climate-proof,0.02,4015386,100.0,99.82,5.8,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Palestine,Type A: Maintain & Climate-proof,0.019,4212523,98.44,99.44,2.09,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Montenegro,Type A: Maintain & Climate-proof,0.018,436138,98.86,97.81,0.36,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
British Virgin Islands,Type A: Maintain & Climate-proof,0.016,19571,99.86,96.86,0.55,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Slovakia,Type A: Maintain & Climate-proof,0.015,2989242,99.79,97.54,1.01,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Canada,Type A: Maintain & Climate-proof,0.013,32217401,99.22,98.59,0.62,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Luxembourg,Type A: Maintain & Climate-proof,0.013,613662,99.89,97.59,0.5,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Costa Rica,Type A: Maintain & Climate-proof,0.013,4246113,99.81,98.38,1.41,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Uruguay,Type A: Maintain & Climate-proof,0.013,3247545,99.51,98.32,0.83,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Netherlands,Type A: Maintain & Climate-proof,0.012,16908008,100.0,97.67,0.55,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Slovenia,Type A: Maintain & Climate-proof,0.012,1195579,99.5,98.31,0.42,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Hungary,Type A: Maintain & Climate-proof,0.011,7088458,100.0,97.98,0.69,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Norway,Type A: Maintain & Climate-proof,0.01,4653651,100.0,98.05,0.4,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Palau,Type A: Maintain & Climate-proof,0.01,14705,99.57,99.02,1.14,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Brunei Darussalam,Type A: Maintain & Climate-proof,0.009,364592,99.9,99.48,1.86,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Belarus,Type A: Maintain & Climate-proof,0.009,7395095,99.18,99.56,0.68,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
France,Type A: Maintain & Climate-proof,0.009,54509072,100.0,98.65,0.91,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Thailand,Type A: Maintain & Climate-proof,0.008,38948763,100.0,99.02,1.2,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Portugal,Type A: Maintain & Climate-proof,0.008,7137022,99.26,99.66,0.56,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Sweden,Type A: Maintain & Climate-proof,0.008,9388296,99.74,98.86,0.45,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Japan,Type A: Maintain & Climate-proof,0.007,114587928,99.14,99.94,0.57,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Maldives,Type A: Maintain & Climate-proof,0.007,223065,99.56,99.7,0.87,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
United Arab Emirates,Type A: Maintain & Climate-proof,0.007,9365890,100.0,99.09,0.93,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Iceland,Type A: Maintain & Climate-proof,0.007,364670,100.0,98.78,0.54,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Monaco,Type A: Maintain & Climate-proof,0.006,38979,100.0,100.0,1.96,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Czechia,Type A: Maintain & Climate-proof,0.006,8078970,99.88,99.14,0.55,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Greece,Type A: Maintain & Climate-proof,0.006,8295118,100.0,99.0,0.45,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Estonia,Type A: Maintain & Climate-proof,0.005,957296,100.0,99.06,0.45,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
United Kingdom,Type A: Maintain & Climate-proof,0.005,58300848,100.0,99.1,0.54,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Germany,Type A: Maintain & Climate-proof,0.005,65858846,100.0,99.23,0.54,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Cyprus,Type A: Maintain & Climate-proof,0.005,902240,99.77,99.4,0.5,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
United States of America,Type A: Maintain & Climate-proof,0.005,286855092,99.96,99.63,0.89,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Kuwait,Type A: Maintain & Climate-proof,0.004,4838781,100.0,100.0,1.27,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Bahrain,Type A: Maintain & Climate-proof,0.004,1412691,99.92,100.0,1.01,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Belgium,Type A: Maintain & Climate-proof,0.004,11504870,100.0,99.49,0.72,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Qatar,Type A: Maintain & Climate-proof,0.003,2960824,99.99,99.94,0.77,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Finland,Type A: Maintain & Climate-proof,0.003,4809850,100.0,99.45,0.39,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
